,name,school,subschool,spell_level,casting_time,range,area,effect,targets,duration,saving_throw,spell_resistance,sor,wiz,cleric,druid,ranger,bard,paladin,alchemist,summoner,witch,inquisitor,oracle,antipaladin,magus,adept,deity,acid,air,chaotic,cold,curse,darkness,death,disease,earth,electricity,emotion,evil,fear,fire,force,good,language_dependent,lawful,light,mind_affecting,pain,poison,shadow,sonic,water,bloodline,patron
578,True Resurrection,conjuration,healing,cleric/oracle 9,10 minutes,touch,,,dead creature touched,instantaneous,none; see text,yes (harmless),,,9.0,,,,,,,,,9.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Healing (18)
579,True Seeing,divination,,"cleric/oracle 5, druid 7, sorcerer/wizard 6, alchemist 6, summoner 5, witch 6, inquisitor 5, magus 6, shaman 5, occultist 5, psychic 5, mesmerist 6, spiritualist 6, unchained summoner 6, medium 4",1 standard action,touch,,,creature touched,1 min./level,Will negates (harmless),yes (harmless),6.0,6.0,5.0,7.0,,,,6.0,5.0,6.0,5.0,5.0,,6.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arcane (13),
580,True Strike,divination,,"sorcerer/wizard 1, alchemist 1, inquisitor 1, magus 1, bloodrager 1, psychic 1, medium 1",1 standard action,personal,,,you,see text,,,1.0,1.0,,,,,,1.0,,,1.0,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shaitan (3),
581,Undeath to Death,necromancy,,"cleric/oracle 6, sorcerer/wizard 6, inquisitor 6, spiritualist 6",1 standard action,medium (100 ft. + 10 ft./level),several undead creatures within a 40-ft.-radius burst,,,instantaneous,Will negates,yes,6.0,6.0,6.0,,,,,,,,6.0,6.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Undead (13),
582,Undetectable Alignment,abjuration,,"bard 1, cleric/oracle 2, paladin 2, alchemist 2, inquisitor 2, antipaladin 2, psychic 2, mesmerist 1",1 standard action,close (25 ft. + 5 ft./2 levels),,,one creature or object,24 hours,Will negates (object),yes (object),,,2.0,,,1.0,2.0,2.0,,,2.0,2.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
583,Unhallow,evocation,,"cleric/oracle 5, druid 5, inquisitor 5",24 hours,touch,40-ft. radius emanating from the touched point,,,instantaneous,see text,see text,,,5.0,5.0,,,,,,,5.0,5.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
584,Unholy Aura,abjuration,,cleric/oracle 8,1 standard action,20 ft.,,,one creature/level in a 20-ft.-radius burst centered on you,1 round/level,see text,yes (harmless),,,8.0,,,,,,,,,8.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Abyssal (17), Ghoul (17)",
585,Unholy Blight,evocation,,"cleric/oracle 4, inquisitor 4",1 standard action,medium (100 ft. + 10 ft./level),20-ft.-radius spread,,,instantaneous (1d4 rounds); see text,Will partial,yes,,,4.0,,,,,,,,4.0,4.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
586,Unseen Servant,conjuration,creation,"bard 1, sorcerer/wizard 1, summoner/unchained summoner 1, witch 1, magus 1, occultist 1, psychic 1, mesmerist 1, spiritualist 1, medium 1",1 standard action,close (25 ft. + 5 ft./2 levels),,"one invisible, mindless, shapeless servant",,1 hour/level,none,no,1.0,1.0,,,,1.0,,,1.0,1.0,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Starsoul (3),
587,Vampiric Touch,necromancy,,"sorcerer/wizard 3, witch 3, antipaladin 3, magus 3, bloodrager 3, psychic 3, mesmerist 3, spiritualist 3, medium 3",1 standard action,touch,,,living creature touched,instantaneous/1 hour; see text,none,yes,3.0,3.0,,,,,,,,3.0,,,3.0,3.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Undead (7), Daemon (7), Ghoul (7)",
588,Veil,illusion,glamer,"bard 6, sorcerer/wizard 6, psychic 6, mesmerist 6",1 standard action,long (400 ft. + 40 ft./level),,,"one or more creatures, no two of which can be more than 30 ft. apart",concentration + 1 hour/level,Will negates; see text,yes; see text,6.0,6.0,,,,6.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aberrant (Sorcerer) (13),
589,Ventriloquism,illusion,figment,"bard 1, sorcerer/wizard 1, summoner/unchained summoner 1, psychic 1, mesmerist 1, spiritualist 1, medium 1",1 standard action,close (25 ft. + 5 ft./2 levels),,"intelligible sound, usually speech",,1 min./level,Will disbelief (if interacted with),no,1.0,1.0,,,,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maestro (3),"Deception (2), Time (2)"
590,Virtue,transmutation,,"cleric/oracle 0, druid 0, paladin 1, inquisitor 0, shaman 0, psychic 0, spiritualist 0, medium 0",1 standard action,touch,,,creature touched,1 min.,none,yes (harmless),,,0.0,0.0,,,1.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
591,Vision,divination,,"sorcerer/wizard 7, witch 7, shaman 7, psychic 7",1 standard action,personal,,,you,see text,,,7.0,7.0,,,,,,,,7.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dreamspun (15),Portents (14)
592,Wail of the Banshee,necromancy,,"sorcerer/wizard 9, witch 9, shaman 9, psychic 9",1 standard action,close (25 ft. + 5 ft./2 levels),,,one living creature/level within a 40-ft.-radius spread,instantaneous,Fortitude negates,yes,9.0,9.0,,,,,,,,9.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Maestro (19), Ghoul (19)",
593,Wall Of Fire,evocation,,"druid 5, sorcerer/wizard 4, summoner 3, magus 4, bloodrager 4, shaman 5, occultist 4, unchained summoner 4",1 standard action,medium (100 ft. + 10 ft./level),,opaque sheet of flame up to 20 ft. long/level or a ring of fire with a radius of up to 5 ft./two levels; either form 20 ft. high,,concentration + 1 round/level,none,yes,4.0,4.0,,5.0,,,,,3.0,,,,,4.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Efreeti (9), Orc (9)",Summer (10)
594,Wall Of Force,evocation,,"sorcerer/wizard 5, magus 5, occultist 5, psychic 5",1 standard action,close (25 ft. + 5 ft./2 levels),,wall whose area is up to one 10-ft. square/level,,1 round /level (D),none,no,5.0,5.0,,,,,,,,,,,,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
595,Wall Of Ice,evocation,,"sorcerer/wizard 4, summoner 3, magus 4, bloodrager 4, occultist 4, unchained summoner 4",1 standard action,medium (100 ft. + 10 ft./level),,"anchored plane of ice, up to one 10-ft. square/level, or hemisphere of ice with a radius of up to 3 ft. + 1 ft./level",,1 min./level,Reflex negates; see text,yes,4.0,4.0,,,,,,,3.0,,,,,4.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Boreal (9), Marid (9)","Elements (8), Winter (8)"
596,Wall of Iron,conjuration,creation,"sorcerer/wizard 6, summoner 5, magus 6, occultist 6, unchained summoner 6",1 standard action,medium (100 ft. + 10 ft./level),,iron wall whose area is up to one 5-ft. square/level; see text,,instantaneous,see text,no,6.0,6.0,,,,,,,5.0,,,,,6.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shaitan (13),
597,Wall Of Thorns,conjuration,creation,"druid 5, shaman 5",1 standard action,medium (100 ft. + 10 ft./level),,"wall of thorny brush, up to one 10-ft. cube/level (S)",,10 min./level (D),none,no,,,,5.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Verdant (11),Thorns (10)
598,Warp Wood,transmutation,,"druid 2, shaman 2, occultist 2",1 standard action,close (25 ft. + 5 ft./2 levels),,,"1 Small wooden object/level, all within a 20-ft. radius",instantaneous,Will negates (object),yes (object),,,,2.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
599,Water Breathing,transmutation,,"cleric/oracle 3, druid 3, sorcerer/wizard 3, alchemist 3, summoner/unchained summoner 3, magus 3, bloodrager 3, shaman 3, psychic 3",1 standard action,touch,,,living creatures touched,2 hours/level; see text,Will negates (harmless),yes (harmless),3.0,3.0,3.0,3.0,,,,3.0,3.0,,,3.0,,3.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Water (6)
600,Water Walk,transmutation,,"cleric/oracle 3, ranger 3, witch 3, shaman 3, psychic 3, medium 2",1 standard action,touch,,,one touched creature/level,10 min./level,Will negates (harmless),yes (harmless),,,3.0,,3.0,,,,,3.0,,3.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
601,Waves of Exhaustion,necromancy,,"sorcerer/wizard 7, witch 7, psychic 7, mesmerist 6",1 standard action,60 ft.,cone-shaped burst,,,instantaneous,none,yes,7.0,7.0,,,,,,,,7.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Oni (15), Daemon (15)",Occult (14)
602,Waves of Fatigue,necromancy,,"sorcerer/wizard 5, witch 5, psychic 5, mesmerist 5, spiritualist 5",1 standard action,30 ft.,cone-shaped burst,,,instantaneous,none,yes,5.0,5.0,,,,,,,,5.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Undead (11),
603,Web,conjuration,creation,"sorcerer/wizard 2, witch 2, magus 2",1 standard action,medium (100 ft. + 10 ft./level),,webs in a 20-ft.-radius spread,,10 min./level (D),Reflex negates; see text,no,2.0,2.0,,,,,,,,2.0,,,,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
604,Weird,illusion,phantasm,"sorcerer/wizard 9, psychic 9",1 standard action,medium (100 ft. + 10 ft./level),,,"any number of creatures, no two of which can be more than 30 ft. apart",instantaneous,"Will disbelief, then Fortitude partial; see text",yes,9.0,9.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Harrow (19),Ancestors (18)
605,Whirlwind,evocation,,"druid 8, shaman 8",1 standard action,long (400 ft. + 40 ft./level),,"cyclone 10 ft. wide at base, 30 ft. wide at top, and 30 ft. tall",,1 round/level,Reflex negates; see text,yes,,,,8.0,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stormborn (17),Storms (16)
606,Whispering Wind,transmutation,,"bard 2, sorcerer/wizard 2, inquisitor 2, psychic 2, mesmerist 2, medium 2",1 standard action,1 mile/level,10-ft.-radius spread,,,no more than 1 hour/level or until discharged (destination is reached),none,no,2.0,2.0,,,,2.0,,,,,2.0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
607,Wind Walk,transmutation,,"cleric/oracle 6, druid 7, alchemist 6, shaman 7",1 standard action,touch,,,you and one touched creature per three levels,1 hour/level ; see text,none and Will negates (harmless),no and yes (harmless),,,6.0,7.0,,,,6.0,,,,6.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Storms (12)
608,Wind Wall,evocation,,"cleric/oracle 3, druid 3, ranger 2, sorcerer/wizard 3, summoner 2, magus 3, bloodrager 3, shaman 3, occultist 3, spiritualist 3, unchained summoner 3",1 standard action,medium (100 ft. + 10 ft./level),,wall up to 10 ft./level long and 5 ft./level high (S),,1 round/level,none; see text,yes,3.0,3.0,3.0,3.0,2.0,,,,2.0,,,3.0,,3.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Peace (6)
609,Wish,universal,,"sorcerer/wizard 9, psychic 9",1 standard action,see text,see text,see text,see text,see text,none; see text,yes,9.0,9.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Arcane (19), Djinni (19), Draconic (19), Efreeti (19), Marid (19), Shaitan (19), Div (19), Impossible (19)",
610,Wood Shape,transmutation,,"druid 2, shaman 2, occultist 2",1 standard action,touch,,,one touched piece of wood no larger than 10 cu. ft. + 1 cu. ft./level,instantaneous,Will negates (object),yes (object),,,,2.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
611,Word of Recall,conjuration,teleportation,"cleric/oracle 6, druid 8, psychic 7",1 standard action,unlimited,,,you and touched objects or other willing creatures,instantaneous,"none or Will negates (harmless, object)","no or yes (harmless, object)",,,6.0,8.0,,,,,,,,6.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Peace (12)
612,Word Of Chaos,evocation,,"cleric/oracle 7, inquisitor 6",1 standard action,40 ft.,nonchaotic creatures in a 40-ft.-radius spread centered on you,,,instantaneous,none or Will negates; see text,yes,,,7.0,,,,,,,,6.0,7.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
613,Zone of Silence,illusion,glamer,"bard 4, mesmerist 4",1 round,personal,5-ft.-radius emanation centered on you,,,1 hour/level,,,,,,,,4.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
614,Zone of Truth,enchantment,compulsion,"cleric/oracle 2, paladin 2, witch 2, inquisitor 2, psychic 2, medium 2",1 standard action,close (25 ft. + 5 ft./2 levels),20-ft.-radius emanation,,,1 min./level,Will negates,yes,,,2.0,,,,2.0,,,2.0,2.0,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
615,Wall Of Stone,conjuration,creation,"cleric/oracle 5, druid 6, sorcerer/wizard 5, summoner 4, magus 5, shaman 6, occultist 5, unchained summoner 5",1 standard action,medium (100 ft. + 10 ft./level),,stone wall whose area is up to one 5-ft. square/level (S),,instantaneous,see text,no,5.0,5.0,5.0,6.0,,,,,4.0,,,5.0,,5.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shaitan (11),Mountain (10)
616,Agonize,evocation,,"cleric/oracle 3, sorcerer/wizard 4, occultist 3, psychic 4, unchained summoner 4",1 standard action,close (25 ft. + 5 ft./2 levels),,,one conjured outsider or elemental (see text),1 full round,Fortitude negates,yes,4.0,4.0,3.0,,,,,,,,,3.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
617,Burning Disarm,transmutation,,"cleric/oracle 1, druid 1, sorcerer/wizard 1",1 standard action,Short (25 ft. + 5 ft./2 levels),,,Held metal item of one creature or 15 lbs. of unattended metal,Instantaneous,"Reflex negates (object, see text)",Yes (object),1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
618,Dweomer Retaliation,abjuration,,sorcerer/wizard 3,1 immediate action,Long (400 ft. + 40 ft./level),,,one creature you counterspelled since your last turn,instantaneous,none,yes,3.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
619,Emergency Force Sphere,evocation,,sorcerer/wizard 4,1 immediate action,5 ft.,,5-ft.-radius hemisphere of force centered on you,,1 round/level,,No,4.0,4.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
620,Signifer's Rally,conjuration,teleportation,"cleric/oracle 7, sorcerer/wizard 7",1 standard action,medium (100 ft. + 10 ft./level),,,one willing ally/5 levels,instantaneous,Will negates (harmless),yes (harmless),7.0,7.0,7.0,,,,,,,,,7.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
621,Twine Double,illusion,shadow,sorcerer/wizard 3,10 minutes,0 ft.,,One duplicate creature,,1 minute/level,,No,3.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
622,Fear,necromancy,,"bard 3, sorcerer/wizard 4, witch 4, inquisitor 4, antipaladin 4, bloodrager 4, shaman 4, occultist 4, psychic 4, mesmerist 3, spiritualist 4, medium 4",1 standard action,30 ft.,cone-shaped burst,,,1 round/level or 1 round; see text,Will partial,yes,4.0,4.0,,,,3.0,,,,4.0,4.0,,4.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"Draconic (9), Ghoul (9)",
623,Hold Animal,enchantment,compulsion,"druid 2, ranger 2, psychic 2, mesmerist 2",1 standard action,medium (100 ft. + 10 ft./level),,,one animal,1 round/level ; see text,Will negates; see text,yes,,,,2.0,2.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
624,Insect Plague,conjuration,summoning,"cleric/oracle 5, druid 5, summoner 4, shaman 5, unchained summoner 5",1 round,long (400 ft. + 40 ft./level),,"one swarm of wasps per three levels, each of which must be adjacent to at least one other swarm",,1 min./level,none,no,,,5.0,5.0,,,,,4.0,,,5.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Pestilence (11), Div (15)",
625,Baleful Polymorph,transmutation,polymorph,"druid 5, sorcerer/wizard 5, summoner 4, witch 5, magus 5, shaman 5, unchained summoner 5",1 standard action,close (25 ft. + 5 ft./2 levels),,,one creature,permanent,"Fortitude negates, Will partial, see text",yes,5.0,5.0,,5.0,,,,,4.0,5.0,,,,5.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
626,Prying Eyes,divination,,"sorcerer/wizard 5, witch 5, occultist 5, psychic 5, mesmerist 5, spiritualist 5",1 minute,1 mile,,10 or more levitating eyes,,1 hour/level; see text,none,no,5.0,5.0,,,,,,,,5.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rakshasa (11),
627,Instant Summons,conjuration,summoning,"sorcerer/wizard 7, witch 7, psychic 7",1 standard action,see text,,,one object weighing 10 lbs. or less whose longest dimension is 6 ft. or less,permanent until discharged,none,no,7.0,7.0,,,,,,,,7.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
628,"Spellcasting Contract, Lesser",evocation,,cleric/oracle 5,10 minutes,touch,,,willing creature touched,permanent until contractually terminated,Will negates (harmless),yes (harmless),,,5.0,,,,,,,,,5.0,,,,Asmodeus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
629,Spellcasting Contract,evocation,,cleric/oracle 7,10 minutes,touch,,,willing creature touched,permanent until contractually terminated,Will negates (harmless),yes (harmless),,,7.0,,,,,,,,,7.0,,,,Asmodeus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
630,"Spellcasting Contract, Greater",evocation,,cleric/oracle 9,10 minutes,touch,,,willing creature touched,permanent until contractually terminated,Will negates (harmless),yes (harmless),,,9.0,,,,,,,,,9.0,,,,Asmodeus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
631,Ancestral Communion,divination,,"bard 2, cleric/oracle 2",1 minute,personal,,,you,1 minute/level,,,,,2.0,,,2.0,,,,,,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
632,Ancestral Gift,conjuration,summoning,"bard 4, cleric/oracle 4",1 standard action,personal,,magical weapon,,10 minutes/level,,,,,4.0,,,4.0,,,,,,4.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
633,Summon Ancestral Guardian,conjuration,summoning,"bard 3, cleric/oracle 3",1 standard action,medium (100 ft. + 10 ft./level),,two summoned ancestor spirits,,1 round/level,none,yes,,,3.0,,,3.0,,,,,,3.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
634,See Through Stone,divination,,"druid 4, ranger 3",1 standard action,touch,,,creature touched,"concentration, up to 1 round/level",Will negates (harmless),yes (harmless),,,,4.0,3.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
635,Rune of Durability,transmutation,,sorcerer/wizard 3,1 minute,touch,,,weapon touched,permanent,none,no,3.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
